product_code,product_name_short,es_diferenciado,product_space_cluster_name,reflections_index_z,fitness_index_z,rank_reflections,rank_fitness
3004,"Medicaments, packaged",Differentiated product,"Construction, Building, and Home Supplies",0.6708651886316368,-0.1892031844692957,239,371
3005,"Wadding, gauze and bandages",Differentiated product,Metalworking and Electrical Machinery and Parts,0.9198310852109962,0.01850092425373488,165,274
3006,Pharmaceutical goods,Differentiated product,Industrial Chemicals and Metals,0.8594522511058271,-0.12265941467750108,186,341
3102,Nitrogenous fertilizers,Undifferentiated product,Industrial Chemicals and Metals,-1.2969929714351385,-0.686256889132367,732,794
3103,Phosphatic fertilizers,Undifferentiated product,Industrial Chemicals and Metals,-1.1236777984000643,-0.41165284413653735,685,485
3104,Potassic fertilizers,Undifferentiated product,Industrial Chemicals and Metals,-1.0719204314418018,-0.5568235519430744,675,626
3105,Mixed fertilizers,Undifferentiated product,"Construction, Building, and Home Supplies",-1.068304440698009,-0.6165349396473215,672,704
3204,Synthetic organic coloring matter,Undifferentiated product,Industrial Chemicals and Metals,0.3505846761116961,-0.07783059875675435,337,315
3206,Other coloring matter,Undifferentiated product,Industrial Chemicals and Metals,0.23133438979567095,-0.13294108494365053,367,346
3207,Prepared pigments,Differentiated product,Industrial Chemicals and Metals,0.5842149134790059,1.4749292325281227,263,34
3208,"Paints and varnishes, nonaqueous",Differentiated product,"Construction, Building, and Home Supplies",0.44826973529920705,-0.41243728104607735,310,488
3209,"Paints and varnishes, aqueous",Differentiated product,"Construction, Building, and Home Supplies",-0.3060997494081867,-0.5400027434312465,495,603
3212,"Pigments, nonaqueous",Differentiated product,"Construction, Building, and Home Supplies",0.983381595552303,-0.05688516668406715,140,302
3214,Glaziers' putty,Differentiated product,"Construction, Building, and Home Supplies",0.3304277418986516,-0.229983343993531,340,385
3215,Ink,Differentiated product,Industrial Chemicals and Metals,0.5890845173561515,-0.24748327930851052,261,393
3301,Essential oils,Differentiated product,Textile Apparel and Accessories,-1.263319635476477,-0.5820248049202087,721,657
3303,Perfumes,Differentiated product,"Construction, Building, and Home Supplies",0.19324829131610585,-0.5744891182347375,380,649
3304,Make-up preparations,Differentiated product,"Construction, Building, and Home Supplies",0.3840795039784936,-0.4346306963952666,326,502
3305,Hair products,Differentiated product,"Construction, Building, and Home Supplies",0.4411278607200733,-0.4226800154235427,312,496
3306,Dental hygiene products,Differentiated product,"Construction, Building, and Home Supplies",0.14055913407830306,-0.35176834659187245,396,448
3307,Toiletries,Differentiated product,"Construction, Building, and Home Supplies",0.21288326356856072,-0.2806615964192378,377,406
3401,Soap,Differentiated product,"Construction, Building, and Home Supplies",-1.1316022577054037,-0.60299059889404,688,686
